"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0042254","ribosome biogenesis","79/2428","304/18800",4.85951789037893e-10,1.14348194051301e-07,9.06978845127403e-08,"3692/10436/51116/9045/26284/28987/84946/3669/5901/6175/9221/84128/6134/8450/2752/55011/54555/26574/10885/7520/6223/55661/6129/51081/51602/26156/6122/51010/23160/705/57050/23481/9092/1736/6194/10813/5036/88745/51388/4869/6125/8451/56915/22803/57418/84154/5728/81887/54865/55695/22868/51119/10969/23246/51729/54512/5822/27079/55006/117246/55636/2971/9188/55651/90441/51491/115416/4736/10200/10171/9136/11224/55003/6208/10607/92856/6147/29777/6201",79
"BP","GO:0019058","viral life cycle","80/2428","317/18800",1.67101984166983e-09,3.7864071819763e-07,3.00327542693876e-07,"4938/682/56649/7153/1508/3838/11074/3965/51534/6732/9972/3669/3312/8519/972/5359/3956/79581/3429/983/5868/28972/10663/3643/9636/26986/5479/290/5034/7852/29082/10410/3326/5119/3694/10581/6737/9798/4061/8815/3303/27243/5297/6993/7251/7415/50848/3304/558/8673/3123/8638/5886/1525/7879/27350/8411/55054/998/6404/6510/10015/7293/5987/3434/10465/5478/8812/5861/131578/3688/942/6590/27336/8724/6780/3695/9217/3949/53840",80
"BP","GO:0022411","cellular component disassembly","105/2428","460/18800",2.38031642294088e-09,5.20099138412583e-07,4.12528522923213e-07,"4312/713/714/822/712/3936/2629/7153/292/7855/4321/8878/4609/51534/1513/829/4327/2017/7429/5195/327/3312/7416/51569/22974/9927/4316/5341/10075/3159/10783/1072/983/6603/64422/3643/4314/4323/9948/7177/29082/102/5499/1459/54209/7040/3799/5119/23192/81631/57231/4318/80279/291/9793/780/987/51368/9798/10133/27243/81671/26586/7251/7415/65018/643246/10533/8673/11337/4035/4281/7046/11140/11004/2059/10519/10456/9131/81858/256764/6597/2191/832/27429/5644/3569/3925/219402/5756/1520/83743/26993/6840/1984/28985/6811/11034/285590/64780/2021/6602/50853/24144/666",105
"BP","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","19/2428","34/18800",3.22168771361521e-09,6.79665014893029e-07,5.39091846089514e-07,"3122/10437/3118/3108/3115/3127/972/3119/567/3113/3109/54209/1509/2207/29108/3117/3123/3120/1520",19
"BP","GO:0010638","positive regulation of organelle organization","109/2428","487/18800",3.78775432126815e-09,7.30482903689456e-07,5.79399216463652e-07,"6385/54732/3936/6382/7168/8723/292/6366/30968/5329/26354/5366/2017/22919/6714/7429/55737/3181/9530/6356/7416/6188/401548/3178/302/118471/2237/5341/387/3059/5305/6386/3643/10435/6950/9948/638/7520/79837/10574/27141/3998/54209/10575/4233/29899/29108/4318/291/5899/5217/10146/9793/3303/1736/5216/7320/7203/2896/10109/65018/3304/5159/7984/8697/55160/7039/51529/5155/7046/1236/51434/8976/1499/389/10456/23636/2185/255967/274/6281/908/546/5925/998/3002/6742/6836/10015/5987/26355/27429/10635/9212/4836/64151/6369/7474/5898/148170/10592/23019/11034/7408/2021/1437/22948/25/666",109
"BP","GO:0097193","intrinsic apoptotic signaling pathway","75/2428","295/18800",3.78866255070502e-09,7.30482903689456e-07,5.79399216463652e-07,"836/3065/5329/960/4609/9709/5366/6714/7494/578/3301/972/6188/4841/7009/2023/7314/6423/142/51060/5034/4282/8454/53832/27141/27035/54209/10134/597/29108/6280/4318/3190/1655/6279/4976/3303/138065/10525/599/114971/65018/7417/9641/51246/10625/6477/8451/9368/80237/10210/598/1386/9131/64065/4582/22954/1026/10131/6387/27429/5478/5163/8445/8575/10955/1984/90441/10488/2810/84447/54929/25/666/6201",75
"BP","GO:0048002","antigen processing and presentation of peptide antigen","27/2428","63/18800",3.8207670673525e-09,7.30482903689456e-07,5.79399216463652e-07,"3122/3136/10437/3118/3108/3115/3135/3127/972/3119/567/3113/3109/54209/563/1509/2923/2207/29108/3117/3105/55080/3123/3120/811/1520/3107",27
"BP","GO:0015980","energy derivation by oxidation of organic compounds","79/2428","321/18800",7.15297107483351e-09,1.32611748593428e-06,1.0518404036677e-06,"3417/27069/2629/11277/30968/6391/4191/4609/4713/29103/6472/4436/5834/8801/7386/8803/54205/50/847/387/9377/983/4190/4715/9572/3643/7384/5499/4714/9650/1329/4704/4706/4726/1537/2647/1337/29796/4700/4711/4720/7415/65018/27089/4709/10728/55022/205327/5160/374291/6392/3795/92259/1347/7381/1327/3421/4728/10131/9167/4843/4716/8445/4725/4694/83931/37/4710/1350/891/51142/1737/158/6389/4695/1738/4708/55847/55967",79
"BP","GO:2001234","negative regulation of apoptotic signaling pathway","62/2428","230/18800",7.8439757580673e-09,1.4114542261134e-06,1.11952719023809e-06,"27069/292/3065/5329/960/9709/2017/6714/7494/3301/972/2950/2773/4841/7009/2023/5716/6423/51060/7001/55011/26574/4282/4150/1459/4318/291/4976/3303/10449/1457/55437/3655/10525/599/65018/3304/7417/10625/3958/7046/80196/1499/80237/598/4582/5925/4000/22954/10131/6387/27429/5478/54978/10488/2139/28978/84447/1437/1495/54929/666",62
"BP","GO:0006605","protein targeting","78/2428","317/18800",8.97769873928115e-09,1.56930173962635e-06,1.24472755452891e-06,"7534/4074/53371/7855/3309/10053/9709/56993/29103/10055/5195/130617/7805/3329/9530/3312/9927/10953/10075/6731/3689/6386/23471/51304/28972/64422/29082/1459/9695/3998/5880/10134/6726/10952/10956/10971/51762/29927/9789/90637/65018/26517/79778/5824/11337/2664/131118/5828/11140/6729/10519/7879/10456/6727/9131/84885/80273/26521/100287932/140823/6746/6747/8504/7332/27429/23480/51114/123264/6728/9512/254887/4285/7529/51025/8031/131474/23163/4666",78
"BP","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","19/2428","36/18800",1.15248468998787e-08,1.948745644925e-06,1.54569216343564e-06,"3122/10437/3118/3108/3115/3127/972/3119/567/3113/3109/54209/1509/2207/29108/3117/3123/3120/1520",19
"BP","GO:0044403","biological process involved in symbiotic interaction","72/2428","286/18800",1.20412802593951e-08,1.948745644925e-06,1.54569216343564e-06,"682/56649/4615/1508/11074/79228/3065/3965/6348/3725/6714/2597/3329/9972/3312/8519/972/5359/3956/1072/79581/3429/983/3643/5479/290/6351/6950/5034/7852/29082/9367/10410/1436/3326/5119/3694/10581/6737/55770/2519/9798/4061/3303/27243/6993/7251/50848/3304/10533/558/8673/3123/1525/7879/598/140823/6597/6404/6510/7293/5987/3434/5478/8812/131578/3688/942/8724/3695/3949/53840",72
"BP","GO:0051701","biological process involved in interaction with host","54/2428","191/18800",1.21040102169255e-08,1.948745644925e-06,1.54569216343564e-06,"682/56649/1508/11074/79228/3965/6714/9972/8519/972/5359/3956/79581/983/3643/290/6950/5034/7852/29082/10410/5119/3694/10581/6737/55770/2519/9798/4061/3303/27243/6993/7251/50848/3304/10533/558/8673/3123/1525/7879/598/6404/6510/7293/5987/3434/5478/3688/942/8724/3695/3949/53840",54
"BP","GO:1990266","neutrophil migration","41/2428","128/18800",1.45702165783731e-08,2.28565602632016e-06,1.81292033539271e-06,"2919/3627/682/4615/6366/6357/6288/6348/6364/6362/2921/6356/972/3689/4192/6373/10563/5479/6351/9948/57126/2920/719/5880/388372/2207/6280/4283/6279/4354/6850/56833/3958/1525/1236/6729/51192/5142/5478/6369/391",41
"BP","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","17/2428","30/18800",1.65142665489826e-08,2.5258570686669e-06,2.00344128396868e-06,"3122/10437/3118/3108/3115/3127/972/3119/567/3113/3109/1509/2207/3117/3123/3120/1520",17
"BP","GO:0030593","neutrophil chemotaxis","36/2428","106/18800",1.97629298429793e-08,2.94901475071579e-06,2.33907847435519e-06,"2919/3627/682/6366/6357/6288/6348/6364/6362/2921/6356/972/3689/4192/6373/10563/5479/6351/2920/719/5880/388372/2207/6280/4283/6279/4354/6850/3958/1525/1236/6729/51192/5142/5478/6369",36
"BP","GO:0010498","proteasomal protein catabolic process","108/2428","496/18800",2.13938232762172e-08,3.11636692390231e-06,2.47181767677597e-06,"2629/11065/27248/3309/26233/5686/9709/5366/91319/550/5721/130617/54994/5707/991/5699/5716/9491/54788/10075/7314/6386/8450/3429/255488/9572/55741/8454/5713/9695/57333/54209/6500/3326/10134/10952/8078/5720/10956/23753/7184/5688/5705/3303/26235/6613/7320/90637/7415/65018/3304/23588/7126/5886/11337/8697/6477/8451/7341/5704/80196/51434/5698/23607/1499/5684/8507/10210/6400/54442/5689/81858/811/51377/7345/79845/4189/51136/5708/5714/26224/5687/57414/116138/6469/83590/899/5685/127733/5696/81502/55872/23190/5691/8312/55212/9618/6048/84447/10213/5690/3300/127544/23510/80344/5693/55968/9306",108
"BP","GO:0097530","granulocyte migration","46/2428","154/18800",2.28748999311819e-08,3.14065138049548e-06,2.49107944875073e-06,"2919/57402/5919/3627/682/4615/6366/6357/6288/6348/6364/6362/2921/6356/972/3689/4192/6373/10563/5479/6351/9948/57126/2920/719/5880/1436/388372/2207/6280/4283/6279/4354/6850/56833/3958/1525/1236/6729/51192/5142/11314/5478/6369/391/6278",46
"BP","GO:0002399","MHC class II protein complex assembly","12/2428","16/18800",2.31005740637948e-08,3.14065138049548e-06,2.49107944875073e-06,"3122/3118/3108/3115/3127/3119/567/3113/3109/3117/3123/3120",12
"BP","GO:0002503","peptide antigen assembly with MHC class II protein complex","12/2428","16/18800",2.31005740637948e-08,3.14065138049548e-06,2.49107944875073e-06,"3122/3118/3108/3115/3127/3119/567/3113/3109/3117/3123/3120",12
"BP","GO:0031647","regulation of protein stability","73/2428","300/18800",4.34608039317931e-08,5.78028692292848e-06,4.58476673056215e-06,"10103/481/10437/11277/23673/836/1512/6714/2597/55737/3329/9530/3312/7305/284996/1650/9572/5479/6950/9334/10574/3326/10910/10575/5476/29108/11040/5217/6737/5292/3303/5216/7320/7203/2896/65018/3304/5824/5886/5828/6125/7341/10728/11140/1500/8818/5728/6400/55664/57142/908/8841/811/6659/4000/1942/84897/26224/10169/56912/123264/8575/483/54344/54918/1603/54765/6048/84447/1022/23163/22948/6201",73
"BP","GO:0071621","granulocyte chemotaxis","40/2428","128/18800",4.70108886014897e-08,6.11941737157264e-06,4.8537557996163e-06,"2919/57402/5919/3627/682/6366/6357/6288/6348/6364/6362/2921/6356/972/3689/4192/6373/10563/5479/6351/2920/719/5880/1436/388372/2207/6280/4283/6279/4354/6850/3958/1525/1236/6729/51192/5142/5478/6369/6278",40
"BP","GO:1903320","regulation of protein modification by small protein conjugation or removal","63/2428","246/18800",4.90002610586722e-08,6.12984726243172e-06,4.86202850601508e-06,"57561/1958/11065/3309/8915/8878/9709/26354/10055/7805/9733/3301/6188/1616/991/5716/10075/7314/7334/9636/7329/9184/57599/10054/6500/3326/7335/80279/6737/7336/3303/9111/7415/65018/3304/7321/10459/10625/11337/553115/10253/6125/7046/4085/1499/5728/10210/8841/10401/6659/54602/7332/23551/5478/80762/330/8312/648/54765/3300/25/6201/8767",63
"BP","GO:0052547","regulation of peptidase activity","100/2428","456/18800",4.90948865412152e-08,6.12984726243172e-06,4.86202850601508e-06,"2168/1718/10653/1508/8915/3065/5265/5329/3965/960/6692/1512/4609/5366/1365/6714/2597/51107/7429/578/5721/7805/1364/2/3329/1800/9232/54205/10935/6188/5118/302/3476/25824/9491/3336/387/6423/55011/10406/84168/27290/183/27141/57333/1509/10134/29108/6280/4318/5720/939/6279/1457/5918/5269/6850/2896/7415/65018/1476/3146/4035/1992/80196/6195/5698/5266/5684/7498/274/9131/1469/64065/112399/51377/728113/1942/871/26355/55795/9966/27429/834/710/6690/330/5696/6590/2810/2821/64780/10049/10213/8530/1893/7076/10972/666/8767",100
"BP","GO:0006979","response to oxidative stress","96/2428","433/18800",5.22376321027681e-08,6.39179666409471e-06,5.06979966302655e-06,"2877/3417/2168/6382/7351/1718/7168/5603/199/1965/11277/836/374/3040/2937/2353/3725/6714/578/5831/1728/2950/10935/6188/4841/80777/6772/25824/847/8754/2706/5052/79899/475/142/983/4257/29957/7001/10549/4314/4323/5034/3043/27035/54209/4233/5156/4318/952/3303/7295/4700/10280/4720/65018/3304/558/1277/5159/5445/1499/4520/2185/8061/9943/1386/9131/140823/10110/10314/114757/318/4728/10131/27429/3569/5478/5163/328/8575/22921/2878/29920/90441/4710/6780/51142/8309/5893/2021/6278/5693/54929/25/55967",96
"BP","GO:0071674","mononuclear cell migration","54/2428","199/18800",5.57601274112811e-08,6.68902861769054e-06,5.3055559827865e-06,"57402/5919/3627/199/2629/6366/6357/3965/6288/6348/6364/387695/6362/6356/1880/387/4192/6373/10563/6351/7852/6223/102/719/26585/1436/388372/29108/56833/50848/7984/3146/3958/5155/1236/8976/2059/2185/9943/5800/51192/811/998/6387/6558/7941/3569/27347/6369/7474/10488/3695/6278/1893",54
"BP","GO:0051085","chaperone cofactor-dependent protein refolding","17/2428","32/18800",6.03355238220762e-08,7.09870643737427e-06,5.63050131214112e-06,"3309/3337/3312/972/54788/3336/10808/23753/3303/3304/6388/10728/3313/27348/3310/27433/6767",17
"BP","GO:0019693","ribose phosphate metabolic process","89/2428","394/18800",6.51409082808395e-08,7.51947314834295e-06,5.96424204914936e-06,"3158/3692/51703/11332/226/11277/30968/353/80201/4609/9060/132/7167/2597/2984/2203/8801/7086/5901/471/64834/8803/2773/8034/3939/2023/387/79717/142/5538/5315/27284/5236/51292/3643/4598/54209/7040/84649/10005/7114/29922/4976/80347/4354/2026/204/7415/65018/5230/978/54963/47/5211/8573/55022/5160/2027/7498/79621/84188/7378/9524/3101/5142/5634/7372/50808/318/3251/9061/55711/2618/51715/109/30833/5163/3615/1503/230/51727/2821/1737/11164/10654/4833/158/1738/4830",89
"BP","GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling","64/2428","254/18800",7.40177997521806e-08,8.38594257192298e-06,6.65150208299323e-06,"4615/6366/8915/3065/3965/8878/10537/2597/972/2950/1936/6275/84336/3956/6772/387/653519/10783/51026/7334/9516/5494/9572/9020/7329/54209/29108/7335/11040/6737/6398/10133/124583/6285/65018/9641/3123/51246/1236/8904/1499/389/23636/1653/81858/497661/22954/54602/5987/834/9188/80762/330/54923/7474/9100/92610/28952/9618/1893/25/10342/53840/8767",64
"BP","GO:0009259","ribonucleotide metabolic process","87/2428","384/18800",7.92817852777915e-08,8.77260252958323e-06,6.95819026881483e-06,"3158/3692/51703/11332/226/11277/30968/353/80201/4609/9060/132/7167/2597/2984/2203/8801/5901/471/64834/8803/2773/8034/3939/2023/387/79717/142/5538/5315/27284/5236/51292/3643/4598/54209/7040/84649/10005/7114/29922/4976/80347/4354/2026/204/7415/65018/5230/978/54963/47/5211/8573/55022/5160/2027/7498/79621/84188/7378/9524/3101/5142/5634/7372/50808/318/3251/9061/55711/2618/51715/109/30833/5163/3615/1503/230/51727/2821/1737/10654/4833/158/1738/4830",87
