Officel.Gene.Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	g
ILK	-5.526524648	2.307622973	-11.41377573	1.48E-11	1.35E-08	16.39220143	DOWN
GPA33	-5.407229397	2.169146861	-11.32585425	1.75E-11	1.53E-08	16.23447358	DOWN
KRT18	-8.423513801	4.290385375	-11.07919085	2.81E-11	2.37E-08	15.78667222	DOWN
IGLL5	-6.835865012	2.378383742	-10.85894302	4.31E-11	3.50E-08	15.38014318	DOWN
CA4	-2.078083493	0.792456569	-10.59121052	7.31E-11	5.72E-08	14.8773394	DOWN
RAB25	-5.177927134	1.825737783	-10.42879533	1.01E-10	6.99E-08	14.56764567	DOWN
RGS1	-5.400120454	1.911411397	-10.41783753	1.03E-10	6.99E-08	14.54662301	DOWN
TMED9	-7.750608609	3.543531236	-10.40156535	1.07E-10	6.99E-08	14.51537465	DOWN
KRT20	-6.032108079	2.119829532	-10.39736529	1.08E-10	6.99E-08	14.50730319	DOWN
HMGCS2	-6.417765466	2.239017227	-10.39237849	1.09E-10	6.99E-08	14.49771673	DOWN
ABRACL	-5.802163343	2.735816131	-10.37707477	1.12E-10	6.99E-08	14.46827627	DOWN
PRDM1	-3.129615001	1.244213385	-10.36232903	1.16E-10	6.99E-08	14.43987913	DOWN
CYBA	-6.795773104	3.098090948	-10.35963123	1.16E-10	6.99E-08	14.43468055	DOWN
PRR15L	-6.151695568	2.150327261	-10.35245157	1.18E-10	6.99E-08	14.42084071	DOWN
MYL9	-3.8249245	1.483406858	-10.16242126	1.73E-10	1.00E-07	14.05197248	DOWN
TNFSF13	-4.473128925	1.615857237	-10.06621327	2.11E-10	1.19E-07	13.86333377	DOWN
KIAA1217	-2.372343545	0.908582101	-10.0174346	2.33E-10	1.26E-07	13.76720362	DOWN
IRF6	-4.295579086	1.549627941	-10.01439568	2.35E-10	1.26E-07	13.76120381	DOWN
C1QC	-6.017456015	2.105580743	-9.920696436	2.85E-10	1.49E-07	13.57558262	DOWN
CAPG	-7.60345033	3.341819816	-9.905630183	2.94E-10	1.50E-07	13.54562209	DOWN
ASPN	-4.075855729	1.47348199	-9.880859596	3.10E-10	1.54E-07	13.49629501	DOWN
HLA-DRA	-8.946361434	3.868659834	-9.857015146	3.25E-10	1.58E-07	13.44873145	DOWN
FXYD3	-7.753087913	3.35293262	-9.569684358	5.94E-10	2.83E-07	12.86932268	DOWN
IDH1	-5.181602881	2.804182977	-9.501595949	6.87E-10	3.20E-07	12.73031871	DOWN
CD52	-6.612667619	2.303984611	-9.470651015	7.34E-10	3.35E-07	12.66692737	DOWN
C1QA	-5.391454195	1.89691347	-9.373561321	9.03E-10	4.04E-07	12.46715673	DOWN
ZNF706	-6.052179338	2.995340268	-9.318388633	1.02E-09	4.45E-07	12.35303795	DOWN
TMEM141	-6.221422861	2.76239612	-9.267908492	1.13E-09	4.87E-07	12.24824605	DOWN
B3GNT7	-3.87281788	1.520090167	-9.208630558	1.29E-09	5.41E-07	12.12472756	DOWN
SLC26A3	-5.515022259	2.213925626	-9.20118877	1.31E-09	5.41E-07	12.10918559	DOWN
MYO5B	-4.317673453	1.771533282	-9.096686121	1.64E-09	6.66E-07	11.89009997	DOWN
BICC1	-3.118474978	1.242027198	-9.031091872	1.89E-09	7.55E-07	11.75178722	DOWN
LCP1	-4.282016487	1.530460402	-9.017152292	1.95E-09	7.64E-07	11.72231478	DOWN
S100A14	-6.017495422	2.350074	-8.877000764	2.66E-09	1.01E-06	11.42444656	DOWN
ELF3	-6.497755473	4.309979203	-8.875369885	2.67E-09	1.01E-06	11.42096383	DOWN
FAM84A	-3.462291398	1.271978391	-8.826254594	2.97E-09	1.10E-06	11.31590019	DOWN
AHCY	-5.998759406	2.620052857	-8.742018126	3.58E-09	1.30E-06	11.13490274	DOWN
IL2RG	-6.197860126	2.271515372	-8.73769821	3.62E-09	1.30E-06	11.12559318	DOWN
BHLHE40	-4.465168133	2.180240141	-8.722262361	3.74E-09	1.32E-06	11.09230656	DOWN
YWHAZ	-3.739624384	6.38199114	-8.6582681	4.32E-09	1.50E-06	10.9539417	DOWN
FABP1	-7.919257243	2.739514486	-8.647934506	4.42E-09	1.51E-06	10.9315439	DOWN
ARRDC3	-3.78545966	1.626802636	-8.585950246	5.08E-09	1.71E-06	10.79687326	DOWN
RARRES2	-4.884070998	1.989961576	-8.573908966	5.22E-09	1.73E-06	10.77064778	DOWN
EMILIN3	-3.34014714	1.230397979	-8.564962038	5.32E-09	1.74E-06	10.75114823	DOWN
MFAP4	-5.874404624	2.262127219	-8.547107168	5.54E-09	1.79E-06	10.71219981	DOWN
VSIG4	-4.53405678	1.651191485	-8.432447236	7.18E-09	2.28E-06	10.46099377	DOWN
PDIA6	-6.459473078	3.739021469	-8.359269027	8.48E-09	2.65E-06	10.29968579	DOWN
KLF5	-3.846241384	1.911598529	-8.317753335	9.32E-09	2.88E-06	10.20783188	DOWN
SDC1	-3.833618456	1.577951221	-8.306755834	9.56E-09	2.90E-06	10.18345858	DOWN
COMT	-6.28868784	3.999102471	-8.297628784	9.76E-09	2.90E-06	10.16321757	DOWN
CLNS1A	-6.753338366	3.342754521	-8.296208326	9.79E-09	2.90E-06	10.16006636	DOWN
GUCA2A	-3.806600413	1.446911335	-8.2049927	1.21E-08	3.48E-06	9.957107402	DOWN
HIST1H1E	-4.185800286	1.942033576	-8.204551863	1.21E-08	3.48E-06	9.956123642	DOWN
SEC24C	-2.751937069	1.150359447	-8.182775497	1.27E-08	3.61E-06	9.907493766	DOWN
CEACAM6	-8.033370452	3.302989715	-8.161734313	1.33E-08	3.74E-06	9.860441646	DOWN
GOT1	-4.780250388	2.040710929	-8.105481123	1.52E-08	4.21E-06	9.734340179	DOWN
PLA2G2A	-6.274266506	2.214560881	-8.079592242	1.61E-08	4.41E-06	9.676154977	DOWN
EIF6	-7.168677229	4.313248156	-8.031724887	1.80E-08	4.87E-06	9.568323483	DOWN
IGJ	-8.526419277	4.386916617	-8.021397802	1.84E-08	4.91E-06	9.545017054	DOWN
M6PR	-6.942626149	3.276833936	-8.015280671	1.87E-08	4.91E-06	9.531204658	DOWN
ANG	-4.165686031	1.488324082	-8.012122644	1.88E-08	4.91E-06	9.524071813	DOWN
CXCL10	-5.407845056	1.916712598	-7.926903812	2.30E-08	5.92E-06	9.33106273	DOWN
SLC39A11	-4.813757745	2.164985699	-7.866052404	2.65E-08	6.75E-06	9.192618317	DOWN
OCIAD2	-6.862862744	4.557543314	-7.827984955	2.89E-08	7.29E-06	9.105746735	DOWN
RNASET2	-4.203666356	1.919952366	-7.81896336	2.96E-08	7.36E-06	9.085129408	DOWN
ACSL5	-5.510714524	2.676325189	-7.781594658	3.23E-08	7.95E-06	8.999608801	DOWN
CNPY3	-4.679536154	2.081210866	-7.775638414	3.27E-08	7.97E-06	8.985959611	DOWN
MAP7	-3.151614146	1.26363922	-7.739506485	3.56E-08	8.58E-06	8.903054917	DOWN
CEACAM7	-5.050356538	1.78876485	-7.734657378	3.60E-08	8.59E-06	8.891914859	DOWN
UCP2	-5.401041991	2.126411159	-7.715163709	3.77E-08	8.89E-06	8.847098376	DOWN
PHB	-7.391451049	4.458886144	-7.668227368	4.22E-08	9.77E-06	8.73897494	DOWN
EZR	-5.792971201	3.227439447	-7.666436524	4.23E-08	9.77E-06	8.734843498	DOWN
IGLL1	-1.969794718	0.816247677	-7.605898624	4.89E-08	1.12E-05	8.594924306	DOWN
OAS1	-6.030905223	2.615860989	-7.599602173	4.96E-08	1.12E-05	8.580342655	DOWN
GHITM	-5.550281535	3.034894515	-7.573180712	5.28E-08	1.18E-05	8.519095312	DOWN
ST14	-3.486813051	1.297114859	-7.556687775	5.49E-08	1.22E-05	8.480814841	DOWN
LGALS4	-7.301062081	5.05225001	-7.543428283	5.67E-08	1.23E-05	8.45001237	DOWN
AARS	-4.602292375	1.990991922	-7.54194871	5.69E-08	1.23E-05	8.44657376	DOWN
SLC44A4	-4.693989907	2.547098558	-7.526340322	5.91E-08	1.27E-05	8.410280869	DOWN
TMEM176A	-4.488176215	1.59582081	-7.505190526	6.21E-08	1.32E-05	8.361050173	DOWN
BSG	-5.439819194	4.391220561	-7.48083701	6.58E-08	1.39E-05	8.304286998	DOWN
TMPRSS4	-5.784161513	3.996868713	-7.430569006	7.43E-08	1.55E-05	8.186868912	DOWN
ACOT7	-5.216583394	2.173484269	-7.419182913	7.63E-08	1.58E-05	8.160225531	DOWN
EGR1	-3.721295409	1.581277361	-7.409894409	7.80E-08	1.60E-05	8.1384776	DOWN
JUP	-4.817032497	2.86434799	-7.315995053	9.78E-08	1.98E-05	7.917975832	DOWN
DHCR24	-3.32898192	1.446887657	-7.313336898	9.84E-08	1.98E-05	7.911716669	DOWN
DNAJC5	-2.749328787	1.1395883	-7.309291337	9.94E-08	1.98E-05	7.902188783	DOWN
DERA	-4.106718066	1.854435043	-7.299927141	1.02E-07	2.01E-05	7.880126427	DOWN
TMEM54	-5.482135384	2.278589869	-7.27947836	1.07E-07	2.09E-05	7.831908137	DOWN
ARFGAP2	-4.795044243	2.432609151	-7.274326052	1.08E-07	2.10E-05	7.819750278	DOWN
HLA-H	-3.023171339	1.426342351	-7.23933563	1.18E-07	2.26E-05	7.737091259	DOWN
SERINC2	-4.0066275	1.468839383	-7.217513725	1.24E-07	2.37E-05	7.685459357	DOWN
ALDOA	-6.275505632	9.117364098	-7.208418146	1.27E-07	2.40E-05	7.663920307	DOWN
TPM1	-4.982100933	4.230863537	-7.147801706	1.47E-07	2.75E-05	7.520100879	DOWN
B3GNT3	-3.638404441	1.546644624	-7.116457787	1.59E-07	2.95E-05	7.445547363	DOWN
SPINT2	-5.900025767	4.557644905	-7.112381465	1.60E-07	2.95E-05	7.435842279	DOWN
MYD88	-3.861013654	1.401040468	-7.084153058	1.72E-07	3.14E-05	7.368576393	DOWN
ADAM19	-3.565271979	1.392788434	-7.073342821	1.76E-07	3.19E-05	7.34278953	DOWN
CDCA7	-4.221081238	1.609959556	-7.041758868	1.90E-07	3.42E-05	7.267363534	DOWN
IFI30	-6.441310568	5.173499611	-7.037682794	1.92E-07	3.43E-05	7.257620185	DOWN
HNRNPF	-5.746382396	3.407309384	-7.021334281	2.00E-07	3.54E-05	7.218519957	DOWN
SARS	-5.296482497	2.996946429	-7.006228427	2.08E-07	3.62E-05	7.182361753	DOWN
MAPK13	-4.092822239	1.505616776	-7.005045272	2.08E-07	3.62E-05	7.179528474	DOWN
SNX4	-3.457646819	1.472541054	-6.931810595	2.49E-07	4.30E-05	7.00381331	DOWN
COL4A1	-3.224873362	1.303394569	-6.921624058	2.56E-07	4.38E-05	6.979319376	DOWN
NUP54	-4.697351305	2.114677902	-6.909018142	2.64E-07	4.48E-05	6.948990175	DOWN
MUC13	-4.181461046	2.226069896	-6.902713343	2.68E-07	4.50E-05	6.933813782	DOWN
STC1	-2.632748342	1.026377644	-6.901133983	2.69E-07	4.50E-05	6.930011311	DOWN
AIF1	-4.712767294	1.670684503	-6.892795792	2.74E-07	4.56E-05	6.90993116	DOWN
GBA	-3.783203224	1.863715001	-6.862107318	2.96E-07	4.87E-05	6.835953223	DOWN
EIF2S1	-6.248047095	4.009205603	-6.856276902	3.00E-07	4.87E-05	6.821885338	DOWN
RCC1	-3.629070284	1.495005086	-6.856136948	3.00E-07	4.87E-05	6.821547601	DOWN
REG4	-5.842606676	2.059541499	-6.854170349	3.02E-07	4.87E-05	6.816801534	DOWN
CLIC1	-7.000819746	5.656546762	-6.840998396	3.12E-07	4.99E-05	6.785001033	DOWN
TSTA3	-4.658599265	2.350069056	-6.81341965	3.34E-07	5.30E-05	6.718350594	DOWN
HLA-DQA2	-2.934445988	1.077910734	-6.739157227	4.01E-07	6.33E-05	6.538423441	DOWN
PCDH1	-3.019894832	1.113651721	-6.735577171	4.05E-07	6.34E-05	6.529732872	DOWN
TOP2A	-4.267350786	2.512893915	-6.719164441	4.22E-07	6.56E-05	6.489871646	DOWN
COL1A2	-6.421680631	4.691172825	-6.706364268	4.35E-07	6.71E-05	6.458762115	DOWN
SLC25A5	-4.916069831	7.539033826	-6.702472253	4.40E-07	6.71E-05	6.449299145	DOWN
SLC35C2	-4.685072598	2.323839277	-6.701638828	4.41E-07	6.71E-05	6.447272541	DOWN
KRT8	-6.587350222	6.609452101	-6.695366607	4.47E-07	6.74E-05	6.432018037	DOWN
UBE2C	-5.664422684	2.7252517	-6.692967844	4.50E-07	6.74E-05	6.42618285	DOWN
CTSB	-4.453969641	8.020104472	-6.691333637	4.52E-07	6.74E-05	6.422207123	DOWN
ACTL6A	-6.383464417	3.247952549	-6.679794933	4.65E-07	6.89E-05	6.39412668	DOWN
FAM3D	-4.696245773	1.690477719	-6.667654307	4.79E-07	7.02E-05	6.364564652	DOWN
PPFIBP2	-5.324724005	2.25416433	-6.666654464	4.81E-07	7.02E-05	6.362129303	DOWN
ARF5	-5.087321796	2.729885891	-6.641035771	5.12E-07	7.44E-05	6.299689544	DOWN
MCM7	-5.27926574	3.394639374	-6.636071889	5.19E-07	7.48E-05	6.287582437	DOWN
TFF3	-7.785221249	5.096900209	-6.611874659	5.51E-07	7.89E-05	6.2285239	DOWN
COMMD3	-5.836844437	2.775188153	-6.562767432	6.23E-07	8.87E-05	6.10846202	DOWN
USH1C	-4.280181289	1.537127359	-6.559822881	6.27E-07	8.87E-05	6.101254245	DOWN
DBNDD2	-4.843668049	2.554039854	-6.552751894	6.39E-07	8.96E-05	6.083941655	DOWN
ATP5G3	-5.526451076	4.472382749	-6.550936462	6.42E-07	8.96E-05	6.079495849	DOWN
LYZ	-5.153937876	3.301038535	-6.543546061	6.54E-07	9.04E-05	6.06139371	DOWN
SPP1	-6.072007275	2.28189541	-6.542434075	6.55E-07	9.04E-05	6.05866947	DOWN
KPNA2	-5.209597978	3.633150714	-6.528004961	6.80E-07	9.31E-05	6.023307243	DOWN
ABCF3	-4.417012233	1.874144531	-6.50249688	7.24E-07	9.86E-05	5.960736586	DOWN
ADAMDEC1	-3.484936059	1.466153226	-6.493369401	7.41E-07	0.000100293	5.938329654	DOWN
MT1E	-5.338341259	2.237509654	-6.478106333	7.70E-07	0.000103571	5.900840093	DOWN
FZD5	-2.062049042	0.806114618	-6.462758331	8.00E-07	0.000106987	5.863116228	DOWN
STXBP2	-3.540613226	1.642011469	-6.45304538	8.20E-07	0.000108966	5.839229516	DOWN
MAL2	-4.017095391	2.105542412	-6.412171392	9.09E-07	0.000118867	5.738597977	DOWN
STEAP1	-3.369898958	1.266851036	-6.41195688	9.10E-07	0.000118867	5.738069379	DOWN
ACTG2	-4.974693275	3.107075499	-6.41122297	9.11E-07	0.000118867	5.736260841	DOWN
LAMB3	-3.264089427	1.42022763	-6.40896887	9.16E-07	0.000118867	5.730705819	DOWN
ERLEC1	-3.834465489	2.319503359	-6.402977551	9.30E-07	0.000119965	5.71593813	DOWN
TRIM31	-3.377229269	1.478585963	-6.394277277	9.51E-07	0.000121907	5.694486489	DOWN
TREX1	-4.896511291	2.31884285	-6.382237131	9.80E-07	0.000124934	5.664786736	DOWN
FTL	-5.699765389	10.94913557	-6.340646411	1.09E-06	0.00013796	5.562076616	DOWN
HSPA5	-4.902198288	3.567817997	-6.331064773	1.12E-06	0.000140528	5.538388801	DOWN
C15orf48	-6.587895057	3.63967232	-6.328685244	1.12E-06	0.000140568	5.532504636	DOWN
STX12	-3.354256721	1.520961936	-6.323201387	1.14E-06	0.00014172	5.518941777	DOWN
FBXL6	-2.378554382	0.95951302	-6.317539552	1.15E-06	0.000142951	5.50493549	DOWN
CCL21	-4.318500464	1.695049893	-6.312608728	1.17E-06	0.000143931	5.492734902	DOWN
BCL10	-3.012516728	2.156775059	-6.30366352	1.20E-06	0.000145776	5.470594962	DOWN
CBR1	-4.769161025	2.385974598	-6.303157885	1.20E-06	0.000145776	5.469343239	DOWN
PLEK2	-4.753047875	1.713575598	-6.289084029	1.24E-06	0.000150227	5.434492332	DOWN
THOC6	-3.441893149	1.407652352	-6.28094882	1.27E-06	0.000152511	5.414338047	DOWN
CAMK2N1	-2.756778283	1.125928298	-6.270539324	1.30E-06	0.000154899	5.388539661	DOWN
FABP5	-5.19993783	2.859545551	-6.270500223	1.30E-06	0.000154899	5.388442735	DOWN
BCYRN1	3.601731135	4.221354224	6.263168323	1.32E-06	0.000156671	5.370265136	UP
CASP3	-2.940303176	1.157925186	-6.261743671	1.33E-06	0.000156671	5.366732444	DOWN
HDAC1	-5.139320169	2.727773676	-6.254791627	1.35E-06	0.000158603	5.349490636	DOWN
LYPLA2	-4.443861847	2.185611902	-6.248615419	1.37E-06	0.000160249	5.334168934	DOWN
PSMA5	-5.710710026	3.619086304	-6.245515015	1.39E-06	0.00016066	5.326476135	DOWN
SERPINA1	-5.9421162	2.819465989	-6.237166513	1.41E-06	0.000163234	5.305756881	DOWN
ITLN1	-3.86423314	1.465653263	-6.227804595	1.45E-06	0.000165457	5.28251433	DOWN
CD68	-6.055875297	3.688195549	-6.227709453	1.45E-06	0.000165457	5.282278078	DOWN
MEA1	-5.320155188	3.709158715	-6.222831605	1.47E-06	0.000166158	5.27016452	DOWN
CCL13	-3.707623467	1.37070478	-6.22160052	1.47E-06	0.000166158	5.267106895	DOWN
RIN2	-3.125208371	1.674708386	-6.219933518	1.48E-06	0.000166158	5.262966352	DOWN
UBE2L6	-6.094123429	3.777460823	-6.212360982	1.51E-06	0.00016852	5.244154066	DOWN
FCGR3A	-3.7838136	1.405404407	-6.201655805	1.55E-06	0.000171558	5.217549855	DOWN
RANGAP1	-3.438409308	1.749304287	-6.199472395	1.56E-06	0.000171558	5.212122332	DOWN
STOML2	-5.012124974	2.904663596	-6.199345589	1.56E-06	0.000171558	5.211807103	DOWN
APRT	-6.219191121	4.140686506	-6.194104223	1.58E-06	0.000172988	5.198776155	DOWN
MRPS23	-4.593774764	2.395571677	-6.189284758	1.60E-06	0.000174249	5.186791776	DOWN
CCL14	7.448698934	6.190943691	6.175455283	1.65E-06	0.000179591	5.152390084	UP
AAMP	-5.758085493	2.926834774	-6.166707379	1.69E-06	0.00018232	5.130619626	DOWN
IL32	-5.356917466	4.594755181	-6.163736414	1.70E-06	0.00018232	5.12322427	DOWN
TSTD1	-4.641957373	2.060237838	-6.163729153	1.71E-06	0.00018232	5.123206194	DOWN
MRPL13	-5.478658704	3.767620641	-6.154119808	1.75E-06	0.000185926	5.099280747	DOWN
LAD1	-4.147995906	1.482427373	-6.141976401	1.80E-06	0.000190837	5.069033416	DOWN
PLAUR	-5.720781974	4.002640998	-6.134242485	1.84E-06	0.000192841	5.049762175	DOWN
PARM1	-3.020253362	1.272385609	-6.134097558	1.84E-06	0.000192841	5.049400994	DOWN
LGALS9	-5.638362239	3.073865473	-6.130301571	1.86E-06	0.000193787	5.039940107	DOWN
SGPL1	-3.055039876	1.888166498	-6.119538323	1.91E-06	0.000198231	5.013107098	DOWN
PNRC2	-5.932102899	3.304985247	-6.095932082	2.03E-06	0.000209535	4.954218474	DOWN
TK1	-5.545289344	2.650553755	-6.090825364	2.05E-06	0.000211286	4.941472376	DOWN
CDC42SE1	-2.737065752	1.744126661	-6.078935428	2.12E-06	0.000216776	4.911786453	DOWN
MTMR11	-3.617226484	1.325943396	-6.076203825	2.13E-06	0.000217278	4.904964564	DOWN
EHF	-4.243612329	2.140499747	-6.056051177	2.24E-06	0.000227156	4.854614524	DOWN
MMP12	-4.549257638	1.63091968	-6.055165091	2.25E-06	0.000227156	4.852399855	DOWN
SDHC	-5.555461619	3.748090328	-6.033654565	2.38E-06	0.000238892	4.798615238	DOWN
PPAP2C	-4.637420577	1.939099503	-6.027357657	2.41E-06	0.000240754	4.782862744	DOWN
HKDC1	-2.018780282	0.806635406	-6.027044932	2.42E-06	0.000240754	4.782080331	DOWN
EPB41L4A	3.581228026	2.800335488	6.001487802	2.58E-06	0.000255858	4.718109452	UP
SAA1	-4.026988327	1.562072496	-5.997437911	2.61E-06	0.00025736	4.707967116	DOWN
PLBD1	-4.02088035	2.338403737	-5.993551937	2.63E-06	0.000258767	4.698233946	DOWN
AREG	-2.158355808	0.852245886	-5.987528824	2.67E-06	0.000261616	4.68314532	DOWN
ACTB	-4.799472735	11.82811384	-5.984667314	2.69E-06	0.00026231	4.675975794	DOWN
MT1X	-4.802104511	2.08686323	-5.9830226	2.70E-06	0.00026231	4.671854638	DOWN
SQSTM1	-4.395279346	4.529507774	-5.978342588	2.74E-06	0.000264304	4.660126668	DOWN
CD44	-5.275860894	2.959101815	-5.968913606	2.80E-06	0.000269579	4.636492229	DOWN
DNAJB1	-5.123037061	3.042572569	-5.964021938	2.84E-06	0.000271787	4.624227917	DOWN
C1orf54	-2.545352942	0.967083437	-5.959182831	2.87E-06	0.000273983	4.612093383	DOWN
MDH2	-6.117686932	4.748373461	-5.952931658	2.92E-06	0.000277203	4.596415027	DOWN
LRCH3	3.462254723	4.191636331	5.94123343	3.01E-06	0.000284414	4.567066261	UP
CD164	-4.740252142	4.165126342	-5.933785453	3.07E-06	0.000288656	4.548374651	DOWN
SPINT1	-4.019374694	1.439553636	-5.92969511	3.10E-06	0.000290454	4.538107471	DOWN
S100P	-6.160845432	3.951342614	-5.913634337	3.23E-06	0.000301389	4.497779909	DOWN
C1S	-5.305731202	3.959596243	-5.890063365	3.43E-06	0.000317617	4.438556509	DOWN
MEST	-4.648174694	2.195549457	-5.889914656	3.43E-06	0.000317617	4.438182727	DOWN
CTSH	-4.481329575	1.897857145	-5.886832342	3.46E-06	0.000318228	4.430434877	DOWN
SLC37A4	-3.467579813	1.438890377	-5.885897026	3.47E-06	0.000318228	4.428083671	DOWN
ZWINT	-4.32406433	2.117760903	-5.882297943	3.50E-06	0.000319846	4.419035608	DOWN
MYC	-4.759176855	2.848048162	-5.877120795	3.55E-06	0.000322786	4.406018488	DOWN
VTA1	-3.713262148	1.852198904	-5.873587046	3.58E-06	0.000324385	4.397132204	DOWN
HLA-DMA	-4.122794369	2.048432033	-5.860418508	3.70E-06	0.000334176	4.364008691	DOWN
SPARC	-6.638939254	7.270525231	-5.858727921	3.72E-06	0.000334257	4.359755277	DOWN
HBA2	-3.562010096	1.552525322	-5.852084939	3.78E-06	0.00033863	4.343039763	DOWN
AP1M2	-5.260153768	2.859773016	-5.83040768	4.00E-06	0.00035616	4.288470084	DOWN
HERPUD1	-4.309428979	2.890665905	-5.829313095	4.01E-06	0.00035616	4.285713645	DOWN
GALNT3	-2.798762018	1.241833976	-5.823904446	4.07E-06	0.000359698	4.272091964	DOWN
GDF15	-3.938029043	1.425725579	-5.811493881	4.20E-06	0.000369889	4.240827517	DOWN
PIGR	-5.445191556	2.890935191	-5.808523736	4.23E-06	0.000371239	4.233343455	DOWN
TOMM22	-4.87976497	3.29254403	-5.796523957	4.37E-06	0.000381371	4.203100085	DOWN
HEPH	-3.012509792	1.125242882	-5.784419592	4.51E-06	0.000391897	4.172582223	DOWN
MFAP2	-4.338434492	1.545906902	-5.76782456	4.70E-06	0.000407046	4.13072478	DOWN
GNL3	-4.765970745	2.823898236	-5.766646765	4.72E-06	0.000407046	4.127753276	DOWN
TSPAN13	-3.233643465	1.201853368	-5.759991158	4.80E-06	0.000412471	4.110959694	DOWN
EMG1	-4.872806738	2.820751122	-5.752256441	4.89E-06	0.000419143	4.091439253	DOWN
AGR2	-5.815616361	2.668948958	-5.740829558	5.04E-06	0.000430009	4.062592875	DOWN
MT1G	-5.112290728	2.137711478	-5.737610798	5.08E-06	0.000431917	4.054465659	DOWN
SQRDL	-4.700902394	2.700302992	-5.711126179	5.44E-06	0.000460711	3.987565565	DOWN
PCBP1-AS1	4.60790922	4.565975743	5.708660842	5.48E-06	0.000461872	3.981335646	UP
TYW1	-4.073374111	2.598331216	-5.705393541	5.52E-06	0.000464004	3.973078511	DOWN
NUDCD1	-3.22098171	1.480012333	-5.694199793	5.69E-06	0.000475802	3.944784089	DOWN
GCNT3	-4.034090988	2.443419302	-5.6798648	5.90E-06	0.000491891	3.908537127	DOWN
PAPSS2	-2.532536569	0.964810694	-5.675829577	5.96E-06	0.000495169	3.898331313	DOWN
CTSK	-4.977392187	2.501073366	-5.657819413	6.25E-06	0.000516111	3.852767161	DOWN
CRTAC1	6.405922591	4.318139811	5.655664634	6.28E-06	0.000516111	3.847314328	UP
CPE	5.555674226	4.141714393	5.655452452	6.29E-06	0.000516111	3.846777371	UP
PMAIP1	-3.207433285	1.355309547	-5.653837251	6.31E-06	0.000516339	3.84268976	DOWN
NDUFB7	-5.977287319	3.518972265	-5.646529621	6.43E-06	0.000524243	3.824194126	DOWN
COL5A1	-2.509631754	1.053790405	-5.633671278	6.65E-06	0.000539983	3.791641261	DOWN
PPP1R7	-5.475271586	2.879839882	-5.629109453	6.73E-06	0.000544384	3.780089763	DOWN
WDR77	-4.780378505	2.281314726	-5.625346562	6.80E-06	0.000547695	3.770560343	DOWN
DDC	-3.938732585	1.460323671	-5.619626509	6.90E-06	0.000553835	3.756072751	DOWN
CCL3	-2.945550005	1.081612073	-5.617333616	6.94E-06	0.000555101	3.750264799	DOWN
ADK	-3.59061388	1.887439203	-5.604475164	7.17E-06	0.000571822	3.717687972	DOWN
UBD	-4.120226692	2.023007161	-5.589927422	7.45E-06	0.000590857	3.680819071	DOWN
RASSF3	-2.695982857	1.54402024	-5.589047678	7.47E-06	0.000590857	3.678589089	DOWN
