Type	ID	Name	Description	Target	MoA
kd	CGS001-102	ADAM10	ADAM metallopeptidase domain containing		
kd	CGS001-8751	ADAM15	ADAM metallopeptidase domain containing		
kd	CGS001-6868	ADAM17	ADAM metallopeptidase domain containing		
kd	CGS001-103	ADAR	-		
oe	ccsbBroad304_02789	ADAT1	-		
kd	CGS001-23536	ADAT1	-		
oe	ccsbBroad304_04649	ADC	-		
kd	CGS001-113451	ADC	-		
oe	ccsbBroad304_08681	ADCK3	ABC1-B subfamily		
kd	CGS001-56997	ADCK3	ABC1-B subfamily		
oe	ccsbBroad304_00024	ADCY3	Adenylyl cyclases		
kd	CGS001-109	ADCY3	Adenylyl cyclases		
kd	CGS001-111	ADCY5	Adenylate cyclases		
oe	ccsbBroad304_05773	ADCY9	Adenylyl cyclases		
kd	CGS001-115	ADCY9	Adenylyl cyclases		
oe	ccsbBroad304_00028	ADH5	Alcohol dehydrogenases		
kd	CGS001-128	ADH5	Alcohol dehydrogenases		
kd	CGS001-130	ADH6	Alcohol dehydrogenases		
oe	ccsbBroad304_03565	ADI1	-		
kd	CGS001-55256	ADI1	-		
oe	ccsbBroad304_05779	ADK	Adenosine turnover		
kd	CGS001-132	ADK	Adenosine turnover		
kd	CGS001-22850	ADNP2	Zinc fingers, C2H2-type		
kd	CGS001-84890	ADO	-		
oe	ccsbBroad304_05782	ADORA2A	GPCR / Class A : Adenosine receptors		
kd	CGS001-135	ADORA2A	GPCR / Class A : Adenosine receptors		
oe	ccsbBroad304_00030	ADORA2B	GPCR / Class A : Adenosine receptors		
kd	CGS001-136	ADORA2B	GPCR / Class A : Adenosine receptors		
kd	CGS001-83440	ADPGK	-		
kd	CGS001-150	ADRA2A	GPCR / Class A : Adrenoceptors : alpha		
kd	CGS001-152	ADRA2C	GPCR / Class A : Adrenoceptors : alpha		
oe	ccsbBroad304_05786	ADRB2	GPCR / Class A : Adrenoceptors : beta		
kd	CGS001-154	ADRB2	GPCR / Class A : Adrenoceptors : beta		
oe	ccsbBroad304_05787	ADRBK1	BARK/GRK2 subfamily		
kd	CGS001-156	ADRBK1	BARK/GRK2 subfamily		
oe	ccsbBroad304_00032	ADSL	-		
kd	CGS001-158	ADSL	-		
oe	ccsbBroad304_00033	ADSS	-		
kd	CGS001-159	ADSS	-		
oe	ccsbBroad304_00034	AES	-		
kd	CGS001-166	AES	-		
kd	CGS001-4299	AFF1	-		
kd	CGS001-27125	AFF4	-		
oe	ccsbBroad304_07709	AFG3L2	ATPases / AAA-type		
kd	CGS001-10939	AFG3L2	ATPases / AAA-type		
oe	ccsbBroad304_00036	AFP	-		
kd	CGS001-174	AFP	-		
cp	BRD-K00615600	AG-14361	PARP inhibitor	PARP1	PARP inhibitor
cp	BRD-K33204703	AG-370	PDGFR receptor inhibitor	PDGFRB	PDGFR receptor inhibitor
cp	BRD-K12357156	AG-490	EGFR inhibitor	JAK2, JAK3, EGFR, STAT3	EGFR inhibitor, ErbB2 inhibitor, JAK inhibitor
cp	BRD-K81209512	AG-494	EGFR inhibitor	EGFR	EGFR inhibitor, Tyrosine kinase inhibitor
cp	BRD-K89930444	AG-592	Tyrosine kinase inhibitor		Tyrosine kinase inhibitor
cp	BRD-K59469039	AG-879	Angiogenesis inhibitor	ERBB2, KDR, NTRK1	Angiogenesis inhibitor, Tyrosine kinase inhibitor, VEGFR inhibitor
cp	BRD-K36737713	AG-957	Protein tyrosine kinase inhibitor	ABL1, EGFR	Protein tyrosine kinase inhibitor
cp	BRD-K51223576	AG-99	Tyrosine kinase inhibitor	EGFR	Tyrosine kinase inhibitor
cp	BRD-K32536677	AGK-2	SIRT inhibitor	SIRT2	SIRT inhibitor
oe	ccsbBroad304_00038	AGL	-		
kd	CGS001-178	AGL	-		
oe	ccsbBroad304_02467	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferases		
kd	CGS001-10554	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferases		
oe	ccsbBroad304_07634	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferases		
kd	CGS001-10555	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferases		
oe	ccsbBroad304_05791	AGT	Endogenous ligands		
kd	CGS001-183	AGT	Endogenous ligands		
oe	ccsbBroad304_05792	AGTR1	Angiotensin receptors		
kd	CGS001-185	AGTR1	Angiotensin receptors		
oe	ccsbBroad304_13810	AHCY	Adenosine turnover		
kd	CGS001-191	AHCY	Adenosine turnover		
kd	CGS001-196	AHR	Basic helix-loop-helix proteins		
kd	CGS001-57491	AHRR	Basic helix-loop-helix proteins		
cp	BRD-A67373739	AICA-ribonucleotide	AMPK activator	ATIC, PRKAA1	AMPK activator
oe	ccsbBroad304_07363	AIFM1	-		
kd	CGS001-9131	AIFM1	-		
kd	CGS001-9447	AIM2	-		
kd	CGS001-7965	AIMP2	-		
oe	ccsbBroad304_05832	AIRE	Zinc fingers, PHD-type		
kd	CGS001-326	AIRE	Zinc fingers, PHD-type		
oe	ccsbBroad304_05796	AK1	Adenylate kinases		
kd	CGS001-203	AK1	Adenylate kinases		
oe	ccsbBroad304_00044	AK2	Adenylate kinases		
kd	CGS001-204	AK2	Adenylate kinases		
kd	CGS001-50808	AK3	-		
kd	CGS001-205	AK4	Adenylate kinases		
kd	CGS001-8165	AKAP1	A-kinase anchor proteins		
kd	CGS001-11215	AKAP11	A-kinase anchor proteins		
kd	CGS001-11214	AKAP13	A-kinase anchor proteins		
kd	CGS001-8227	AKAP17A	A-kinase anchor proteins		
kd	CGS001-10270	AKAP8	A-kinase anchor proteins		
kd	CGS001-26993	AKAP8L	-		
kd	CGS001-10142	AKAP9	A-kinase anchor proteins		
oe	ccsbBroad304_02401	AKR1A1	Aldo-keto reductases		
kd	CGS001-10327	AKR1A1	Aldo-keto reductases		
oe	ccsbBroad304_00055	AKR1B1	Aldo-keto reductases		
kd	CGS001-231	AKR1B1	Aldo-keto reductases		
oe	ccsbBroad304_06088	AKR1C1	Aldo-keto reductases		
kd	CGS001-1645	AKR1C1	Aldo-keto reductases		
oe	ccsbBroad304_00429	AKR1C2	Aldo-keto reductases		
kd	CGS001-1646	AKR1C2	Aldo-keto reductases		
oe	ccsbBroad304_01979	AKR1C3	Prostaglandin synthases		
kd	CGS001-8644	AKR1C3	Prostaglandin synthases		
kd	CGS001-8574	AKR7A2	Aldo-keto reductases		
cp	BRD-K04887706	AKT-inhibitor-1-2	AKT inhibitor	AKT1, AKT2, AKT3	AKT inhibitor
cp	BRD-K28296557	AKT-inhibitor-IV	AKT inhibitor	AKT1	AKT inhibitor
oe	ccsbBroad304_00046	AKT1	Akt (Protein kinase B)		
kd	CGS001-207	AKT1	Akt (Protein kinase B)		
oe	ccsbBroad304_00047	AKT2	Akt (Protein kinase B)		
kd	CGS001-208	AKT2	Akt (Protein kinase B)		
oe	ccsbBroad304_07529	AKT3	Akt (Protein kinase B)		
kd	CGS001-10000	AKT3	Akt (Protein kinase B)		
oe	ccsbBroad304_03945	AKTIP	Ubiquitin-conjugating enzymes E2		
kd	CGS001-64400	AKTIP	Ubiquitin-conjugating enzymes E2		
kd	CGS001-210	ALAD	-		
kd	CGS001-211	ALAS1	-		
kd	CGS001-213	ALB	-		
kd	CGS001-5832	ALDH18A1	Aldehyde dehydrogenases		
oe	ccsbBroad304_00048	ALDH1A1	Aldehyde dehydrogenases		
kd	CGS001-216	ALDH1A1	Aldehyde dehydrogenases		
kd	CGS001-220	ALDH1A3	Aldehyde dehydrogenases		
oe	ccsbBroad304_05802	ALDH1B1	Aldehyde dehydrogenases		
kd	CGS001-219	ALDH1B1	Aldehyde dehydrogenases		
oe	ccsbBroad304_00049	ALDH2	Aldehyde dehydrogenases		
kd	CGS001-217	ALDH2	Aldehyde dehydrogenases		
oe	ccsbBroad304_05801	ALDH3A1	Aldehyde dehydrogenases		
kd	CGS001-218	ALDH3A1	Aldehyde dehydrogenases		
oe	ccsbBroad304_00052	ALDH3A2	Aldehyde dehydrogenases		
kd	CGS001-224	ALDH3A2	Aldehyde dehydrogenases		
oe	ccsbBroad304_13811	ALDH3B1	Aldehyde dehydrogenases		
kd	CGS001-221	ALDH3B1	Aldehyde dehydrogenases		
oe	ccsbBroad304_05803	ALDH3B2	Aldehyde dehydrogenases		
kd	CGS001-222	ALDH3B2	Aldehyde dehydrogenases		
kd	CGS001-8659	ALDH4A1	Aldehyde dehydrogenases		
kd	CGS001-7915	ALDH5A1	Aldehyde dehydrogenases		
oe	ccsbBroad304_01025	ALDH6A1	Aldehyde dehydrogenases		
kd	CGS001-4329	ALDH6A1	Aldehyde dehydrogenases		
kd	CGS001-501	ALDH7A1	Aldehyde dehydrogenases		
kd	CGS001-223	ALDH9A1	Aldehyde dehydrogenases		
oe	ccsbBroad304_00053	ALDOA	-		
kd	CGS001-226	ALDOA	-		
oe	ccsbBroad304_00054	ALDOC	-		
kd	CGS001-230	ALDOC	-		
oe	ccsbBroad304_04478	ALG2	Glycosyltransferase group 1 domain containing		
oe	ccsbBroad304_08128	ALG5	Glycosyltransferase family 2 domain containing		
kd	CGS001-29880	ALG5	Glycosyltransferase family 2 domain containing		
oe	ccsbBroad304_04128	ALG9	Dolichyl D-mannosyl phosphate dependent mannosyltransferases		
kd	CGS001-79796	ALG9	Dolichyl D-mannosyl phosphate dependent mannosyltransferases		
kd	CGS001-238	ALK	Leukocyte tyrosine kinase (LTK) receptor family		
kd	CGS001-7840	ALMS1	-		
cp	BRD-K68191783	ALW-II-38-3	Ephrin inhibitor	DDR1, EPHA2, EPHA4, EPHB2, EPHB4, EPHB6	Ephrin inhibitor
cp	BRD-K22096725	ALW-II-49-7	Ephrin inhibitor	DDR1, EPHA2, EPHA4, EPHA7, EPHB2, EPHB4, EPHB6	Ephrin inhibitor
cp	BRD-K53979406	ALX-5407	Glycine transporter inhibitor	SLC6A9	Glycine transporter inhibitor
kd	CGS001-8092	ALX1	Homeoboxes / PRD class		
cp	BRD-K92000912	AM-251	Cannabinoid receptor antagonist	CNR1, GPR18, GPR55	Cannabinoid receptor antagonist
cp	BRD-K59419204	AM-281	Cannabinoid receptor antagonist	CNR1, CNR2, GPR55	Cannabinoid receptor antagonist
cp	BRD-K21667562	AM-404	Cyclooxygenase inhibitor	TRPV1, CNR1, CNR2, FAAH	Cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist
cp	BRD-K06854232	AM-580	Retinoid receptor agonist	RARA	Retinoid receptor agonist
cp	BRD-K63533170	AM-630	Cannabinoid receptor antagonist	CNR2, CNR1	Cannabinoid receptor antagonist
cp	BRD-A11813248	AM-92016	Potassium channel blocker	GRIN1, GRIN2B	Potassium channel blocker
oe	ccsbBroad304_00060	AMBP	Lipocalins		
kd	CGS001-259	AMBP	Lipocalins		
kd	CGS001-262	AMD1	Decarboxylases		
kd	CGS001-51005	AMDHD2	-		
cp	BRD-K43068349	AMG-9810	TRPV antagonist	TRPV1	TRPV antagonist
oe	ccsbBroad304_05560	AMIGO3	Immunoglobulin superfamily / Immunoglobulin-like domain containing		
kd	CGS001-386724	AMIGO3	Immunoglobulin superfamily / Immunoglobulin-like domain containing		
cp	BRD-K23335153	AMN-082	Glutamate receptor modulator	GRM7	Glutamate receptor modulator, Glutamate receptor positive allosteric modulator
oe	ccsbBroad304_00063	AMPD2	-		
kd	CGS001-271	AMPD2	-		
kd	CGS001-275	AMT	-		
oe	ccsbBroad304_03305	ANAPC5	Anaphase promoting complex subunits		
kd	CGS001-51433	ANAPC5	Anaphase promoting complex subunits		
oe	ccsbBroad304_00066	ANG	Ribonucleases, RNase A		
kd	CGS001-283	ANG	Ribonucleases, RNase A		
kd	CGS001-284	ANGPT1	Fibrinogen C domain containing		
kd	CGS001-55608	ANKRD10	Ankyrin repeat domain containing		
kd	CGS001-353322	ANKRD37	Ankyrin repeat domain containing		
oe	ccsbBroad304_03469	ANKRD49	Ankyrin repeat domain containing		
kd	CGS001-54851	ANKRD49	Ankyrin repeat domain containing		
kd	CGS001-79722	ANKRD55	Ankyrin repeat domain containing		
oe	ccsbBroad304_03532	ANKZF1	Ankyrin repeat domain containing		
kd	CGS001-55139	ANKZF1	Ankyrin repeat domain containing		
kd	CGS001-55107	ANO1	Calcium activated chloride channel		
kd	CGS001-55129	ANO10	Calcium activated chloride channel		
kd	CGS001-81611	ANP32E	ANP32 acidic nuclear phosphoproteins		
oe	ccsbBroad304_05817	ANPEP	Aminopeptidase N		
kd	CGS001-290	ANPEP	Aminopeptidase N		
oe	ccsbBroad304_05821	ANXA1	Annexins		
kd	CGS001-301	ANXA1	Annexins		
oe	ccsbBroad304_05823	ANXA2	Annexins		
kd	CGS001-302	ANXA2	Annexins		
kd	CGS001-306	ANXA3	Annexins		
oe	ccsbBroad304_00070	ANXA5	Annexins		
kd	CGS001-308	ANXA5	Annexins		
oe	ccsbBroad304_00072	ANXA7	Annexins		
kd	CGS001-310	ANXA7	Annexins		
oe	ccsbBroad304_01977	AOC3	Oxidoreductases		
kd	CGS001-8639	AOC3	Oxidoreductases		
kd	CGS001-162	AP1B1	-		
oe	ccsbBroad304_02047	AP1S2	-		
kd	CGS001-8905	AP1S2	-		
kd	CGS001-160	AP2A1	-		
kd	CGS001-161	AP2A2	-		
oe	ccsbBroad304_06008	AP2M1	-		
kd	CGS001-1173	AP2M1	-		
kd	CGS001-11154	AP4S1	-		
kd	CGS001-323	APBB2	-		
kd	CGS001-324	APC	Armadillo repeat containing		
oe	ccsbBroad304_05833	APEH	Prolyl oligopeptidase		
kd	CGS001-327	APEH	Prolyl oligopeptidase		
oe	ccsbBroad304_00077	APEX1	-		
kd	CGS001-328	APEX1	-		
cp	BRD-K74733595	APHA-compound-8	HDAC inhibitor	HDAC8	HDAC inhibitor
oe	ccsbBroad304_00079	APOA1	Apolipoproteins		
kd	CGS001-335	APOA1	Apolipoproteins		
oe	ccsbBroad304_00080	APOA2	Apolipoproteins		
kd	CGS001-336	APOA2	Apolipoproteins		
kd	CGS001-116519	APOA5	Apolipoproteins		
kd	CGS001-338	APOB	Apolipoproteins		
oe	ccsbBroad304_09758	APOBEC3H	Apolipoprotein B mRNA editing enzymes		
kd	CGS001-164668	APOBEC3H	Apolipoprotein B mRNA editing enzymes		
oe	ccsbBroad304_05838	APOC2	Apolipoproteins		
kd	CGS001-344	APOC2	Apolipoproteins		
oe	ccsbBroad304_00081	APOC3	Apolipoproteins		
kd	CGS001-345	APOC3	Apolipoproteins		
kd	CGS001-348	APOE	Apolipoproteins		
oe	ccsbBroad304_00084	APOH	Apolipoproteins		
kd	CGS001-350	APOH	Apolipoproteins		
oe	ccsbBroad304_03683	APOM	Apolipoproteins		
kd	CGS001-55937	APOM	Apolipoproteins		
kd	CGS001-79135	APOO	Apolipoproteins		
kd	CGS001-351	APP	Endogenous ligands		
kd	CGS001-10513	APPBP2	-		
oe	ccsbBroad304_00085	APRT	-		
kd	CGS001-353	APRT	-		
cp	BRD-K81729199	AQ-RA741	Acetylcholine receptor antagonist		Acetylcholine receptor antagonist
kd	CGS001-375318	AQP12A	Ion channels / Aquaporins		
kd	CGS001-367	AR	Nuclear hormone receptors		
cp	BRD-K67860401	AR-A014418	Glycogen synthase kinase inhibitor	GSK3B	Glycogen synthase kinase inhibitor
cp	BRD-K40892394	AR-C133057XX	Nitric oxide synthase inhibitor	NOS2, NOS1	Nitric oxide synthase inhibitor
oe	ccsbBroad304_13813	ARAF	RAF family		
kd	CGS001-369	ARAF	RAF family		
kd	CGS001-116985	ARAP1	Ankyrin repeat domain containing		
cp	BRD-K93188295	ARC-239	Adrenergic receptor antagonist	ADRA2B, ADRA2A, ADRA2C	Adrenergic receptor antagonist
oe	ccsbBroad304_00094	ARF1	ADP-ribosylation factors		
kd	CGS001-375	ARF1	ADP-ribosylation factors		
kd	CGS001-378	ARF4	ADP-ribosylation factors		
oe	ccsbBroad304_00097	ARF6	ADP-ribosylation factors		
kd	CGS001-382	ARF6	ADP-ribosylation factors		
oe	ccsbBroad304_02822	ARFIP2	-		
kd	CGS001-23647	ARFIP2	-		
kd	CGS001-10139	ARFRP1	ADP-ribosylation factors		
oe	ccsbBroad304_00098	ARG1	Arginase		
kd	CGS001-383	ARG1	Arginase		
oe	ccsbBroad304_00099	ARG2	Arginase		
kd	CGS001-384	ARG2	Arginase		
kd	CGS001-55082	ARGLU1	-		
kd	CGS001-392	ARHGAP1	Rho GTPase activating proteins		
kd	CGS001-2909	ARHGAP35	Rho GTPase activating proteins		
kd	CGS001-64333	ARHGAP9	Rho GTPase activating proteins		
kd	CGS001-397	ARHGDIB	Endogenous ligands		
kd	CGS001-9826	ARHGEF11	Rho guanine nucleotide exchange factors		
kd	CGS001-23365	ARHGEF12	Rho guanine nucleotide exchange factors		
kd	CGS001-9181	ARHGEF2	Rho guanine nucleotide exchange factors		
kd	CGS001-7984	ARHGEF5	Rho guanine nucleotide exchange factors		
kd	CGS001-9459	ARHGEF6	Rho guanine nucleotide exchange factors		
oe	ccsbBroad304_02036	ARHGEF7	Rho guanine nucleotide exchange factors		
kd	CGS001-8874	ARHGEF7	Rho guanine nucleotide exchange factors		
kd	CGS001-1820	ARID3A	-		
kd	CGS001-51742	ARID4B	-		
kd	CGS001-84159	ARID5B	-		
kd	CGS001-400	ARL1	ADP-ribosylation factors		
kd	CGS001-403	ARL3	ADP-ribosylation factors		
oe	ccsbBroad304_02321	ARL4C	ADP-ribosylation factors		
kd	CGS001-10123	ARL4C	ADP-ribosylation factors		
kd	CGS001-405	ARNT	Basic helix-loop-helix proteins		
kd	CGS001-9915	ARNT2	Basic helix-loop-helix proteins		
oe	ccsbBroad304_00105	ARNTL	Basic helix-loop-helix proteins		
kd	CGS001-406	ARNTL	Basic helix-loop-helix proteins		
kd	CGS001-56938	ARNTL2	Basic helix-loop-helix proteins		
oe	ccsbBroad304_02466	ARPC1A	Actin related protein 2/3 complex subunits		
kd	CGS001-10552	ARPC1A	Actin related protein 2/3 complex subunits		
oe	ccsbBroad304_02312	ARPC1B	Actin related protein 2/3 complex subunits		
kd	CGS001-10095	ARPC1B	Actin related protein 2/3 complex subunits		
kd	CGS001-10109	ARPC2	Actin related protein 2/3 complex subunits		
oe	ccsbBroad304_02311	ARPC3	Actin related protein 2/3 complex subunits		
kd	CGS001-10094	ARPC3	Actin related protein 2/3 complex subunits		
oe	ccsbBroad304_02310	ARPC4	Actin related protein 2/3 complex subunits		
kd	CGS001-10093	ARPC4	Actin related protein 2/3 complex subunits		
kd	CGS001-10092	ARPC5	Actin related protein 2/3 complex subunits		
kd	CGS001-10776	ARPP19	-		
oe	ccsbBroad304_00106	ARRB1	-		
kd	CGS001-408	ARRB1	-		
kd	CGS001-170302	ARX	Homeoboxes / PRD class		
cp	BRD-A60245366	AS-601245	JNK inhibitor	GSK3B, MAPK10, MAPK8, MAPK9, PIM1	JNK inhibitor
cp	BRD-K63915849	AS-604850	PI3K inhibitor	PIK3CG, PIK3CA	PI3K inhibitor
cp	BRD-K41895714	AS-605240	PI3K inhibitor	MAOB, PIK3CA, PIK3CB, PIK3CD, PIK3CG	PI3K inhibitor
cp	BRD-K89014967	AS-703026	MEK inhibitor	MAP2K1, MAP2K2	MEK inhibitor
oe	ccsbBroad304_05856	ASAH1	Acid ceramidase		
kd	CGS001-427	ASAH1	Acid ceramidase		
oe	ccsbBroad304_07314	ASAP2	Ankyrin repeat domain containing		
kd	CGS001-8853	ASAP2	Ankyrin repeat domain containing		
oe	ccsbBroad304_02581	ASCC3	-		
kd	CGS001-10973	ASCC3	-		
kd	CGS001-121549	ASCL4	Basic helix-loop-helix proteins		
oe	ccsbBroad304_02869	ASF1A	-		
kd	CGS001-25842	ASF1A	-		
oe	ccsbBroad304_03641	ASF1B	-		
kd	CGS001-55723	ASF1B	-		
oe	ccsbBroad304_00110	ASGR2	C-type lectin domain containing		
kd	CGS001-433	ASGR2	C-type lectin domain containing		
oe	ccsbBroad304_07354	ASH2L	Zinc fingers, PHD-type		
kd	CGS001-9070	ASH2L	Zinc fingers, PHD-type		
kd	CGS001-435	ASL	-		
oe	ccsbBroad304_07273	ASMTL	Pseudoautosomal regions / PAR1		
kd	CGS001-8623	ASMTL	Pseudoautosomal regions / PAR1		
oe	ccsbBroad304_00112	ASNA1	-		
kd	CGS001-439	ASNA1	-		
oe	ccsbBroad304_00113	ASNS	-		
kd	CGS001-440	ASNS	-		
oe	ccsbBroad304_00115	ASPH	-		
kd	CGS001-444	ASPH	-		
kd	CGS001-80150	ASRGL1	-		
oe	ccsbBroad304_00116	ASS1	-		
kd	CGS001-445	ASS1	-		
cp	BRD-K13390322	AT-7519	CDK inhibitor	CDK2, CDK5, CDK1, CDK4, CDK6, CDK9	CDK inhibitor, Cell cycle inhibitor
cp	BRD-K24576554	AT-9283	JAK inhibitor	AURKA, AURKB, ABL1, BCR, FLT3, JAK2, JAK3, RPS6KA6, STK17A	JAK inhibitor, Aurora kinase inhibitor, ABL inhibitor, BCR-ABL kinase inhibitor, FLT3 inhibitor, Mitotic inhibitor, Protein kinase inhibitor
kd	CGS001-466	ATF1	basic leucine zipper proteins		
oe	ccsbBroad304_00361	ATF2	basic leucine zipper proteins		
kd	CGS001-1386	ATF2	basic leucine zipper proteins		
kd	CGS001-467	ATF3	basic leucine zipper proteins		
oe	ccsbBroad304_00117	ATF4	basic leucine zipper proteins		
kd	CGS001-468	ATF4	basic leucine zipper proteins		
kd	CGS001-22809	ATF5	basic leucine zipper proteins		
kd	CGS001-22926	ATF6	basic leucine zipper proteins		
oe	ccsbBroad304_04294	ATG10	-		
kd	CGS001-9140	ATG12	-		
oe	ccsbBroad304_03512	ATG16L1	WD repeat domain containing		
kd	CGS001-55054	ATG16L1	WD repeat domain containing		
kd	CGS001-89849	ATG16L2	WD repeat domain containing		
oe	ccsbBroad304_03950	ATG3	-		
kd	CGS001-64422	ATG3	-		
oe	ccsbBroad304_04675	ATG4A	-		
kd	CGS001-115201	ATG4A	-		
kd	CGS001-23192	ATG4B	Aut2 peptidase		
kd	CGS001-84971	ATG4D	-		
oe	ccsbBroad304_02173	ATG5	-		
kd	CGS001-9474	ATG5	-		
oe	ccsbBroad304_02460	ATG7	Ubiquitin-like modifier activating enzymes		
kd	CGS001-10533	ATG7	Ubiquitin-like modifier activating enzymes		
oe	ccsbBroad304_00118	ATIC	-		
kd	CGS001-471	ATIC	-		
kd	CGS001-472	ATM	Other PIKK family kinases		
oe	ccsbBroad304_11714	ATMIN	Zinc fingers, C2H2-type		
kd	CGS001-23300	ATMIN	Zinc fingers, C2H2-type		
oe	ccsbBroad304_00120	ATOX1	-		
kd	CGS001-475	ATOX1	-		
kd	CGS001-23200	ATP11B	Phospholipid-transporting ATPases		
kd	CGS001-476	ATP1A1	ATPases / P-type		
oe	ccsbBroad304_05865	ATP1A3	ATPases / P-type		
